-2.450000	20.043960	
-2.350000	19.854566	
-2.250000	19.738805	
-2.150000	19.585264	
-2.050000	19.509332	
-1.950000	19.560099	
-1.850000	19.899661	
-1.750000	20.133041	
-1.650000	20.593068	
-1.550000	21.252396	
-1.450000	22.144890	
-1.350000	23.242885	
-1.250000	24.587665	
-1.150000	26.344607	
-1.050000	28.228131	
-0.950000	30.113136	
-0.850000	31.991544	
-0.750000	33.510611	
-0.650000	34.245289	
-0.550000	34.728166	
-0.450000	34.730044	
-0.350000	34.329635	
-0.250000	33.840830	
-0.150000	33.042285	
-0.050000	32.032127	
0.050000	30.608227	
0.150000	28.798835	
0.250000	26.639667	
0.350000	24.100021	
0.450000	21.030583	
0.550000	17.970246	
0.650000	15.037953	
0.750000	12.431498	
0.850000	10.024841	
0.950000	8.097809	
1.050000	6.338132	
1.150000	4.789287	
1.250000	3.490974	
1.350000	2.580051	
1.450000	1.774835	
1.550000	1.259272	
1.650000	0.618355	
1.750000	0.217902	
1.850000	0.128672	
1.950000	0.000000	
2.050000	0.119546	
2.150000	0.413438	
