-2.451042	23.307312	
-2.353125	23.114286	
-2.255208	22.903796	
-2.157292	22.597653	
-2.059375	22.447620	
-1.961458	22.456305	
-1.863542	22.340650	
-1.765625	22.450333	
-1.667708	22.730812	
-1.569792	23.259562	
-1.471875	23.817423	
-1.373958	24.607402	
-1.276042	25.667440	
-1.178125	27.043942	
-1.080208	28.734305	
-0.982292	30.344209	
-0.884375	31.921169	
-0.786458	33.161572	
-0.688542	33.815423	
-0.590625	34.130959	
-0.492708	34.094518	
-0.394792	33.925103	
-0.296875	33.551374	
-0.198958	32.785465	
-0.101042	31.921957	
-0.003125	30.552979	
0.094792	28.992697	
0.192708	27.004012	
0.290625	24.717498	
0.388542	21.828621	
0.486458	18.693035	
0.584375	15.728441	
0.682292	13.132391	
0.780208	10.809397	
0.878125	8.648582	
0.976042	6.702331	
1.073958	5.078527	
1.171875	3.673980	
1.269792	2.498872	
1.367708	1.573148	
1.465625	0.868643	
1.563542	0.423543	
1.661458	0.195320	
1.759375	0.045171	
1.857292	0.000000	
1.955208	0.038609	
2.053125	0.092813	
2.151042	0.385653	
