-2.451042 19.597197
-2.353125 18.763113
-2.255208 18.076053
-2.157292 17.422034
-2.059375 17.033022
-1.961458 16.699372
-1.863542 16.408343
-1.765625 16.301940
-1.667708 16.257236
-1.569792 16.711331
-1.471875 17.576569
-1.373958 18.501959
-1.276042 19.589667
-1.178125 21.193942
-1.080208 23.030518
-0.982292 25.014674
-0.884375 27.129649
-0.786458 29.065419
-0.688542 30.608065
-0.590625 31.425798
-0.492708 31.638641
-0.394792 31.551529
-0.296875 31.014260
-0.198958 30.184667
-0.101042 29.044174
-0.003125 27.592742
0.094792 25.833662
0.192708 23.867461
0.290625 21.290031
0.388542 18.382662
0.486458 15.452477
0.584375 12.562817
0.682292 9.991501
0.780208 7.663986
0.878125 5.638157
0.976042 4.039088
1.073958 2.632009
1.171875 1.619147
1.269792 0.849169
1.367708 0.370927
1.465625 0.000000
1.563542 0.001167
1.661458 0.058287
1.759375 0.109550
1.857292 0.283256
1.955208 0.434133
2.053125 0.759732
2.151042 1.197249
